road,education,electricity,internet,employment,poverty,votes
0,5,1,5,2,2,346
8,9,2,8,7,2,897
10,0,10,6,1,7,812
7,8,8,2,6,7,928
1,3,7,2,4,6,516
2,7,1,4,8,10,792
0,7,2,4,9,7,654
9,10,9,0,6,6,938
6,7,2,7,7,5,766
5,1,9,5,10,2,794
10,2,6,3,2,5,717
6,7,10,5,10,8,925
2,9,1,10,1,9,777
8,0,0,9,10,4,714
5,2,2,6,9,4,706
2,3,1,0,9,4,470
10,9,3,8,6,5,952
4,9,9,7,6,2,905
3,7,4,1,6,7,657
2,2,8,5,0,1,399
2,1,2,0,10,8,593
10,8,2,4,9,0,745
4,9,10,1,7,5,827
4,5,3,9,8,9,880
3,10,10,9,5,2,969
6,1,7,6,1,4,570
9,1,2,7,3,6,741
0,5,7,1,0,2,280
6,0,6,9,8,2,700
6,3,6,5,0,3,532
5,5,4,1,9,1,547
5,5,6,1,8,4,669
0,5,3,6,1,8,566
7,2,4,2,8,8,774
8,8,6,9,9,3,932
10,8,8,8,2,8,955
7,8,3,1,9,4,799
7,5,1,10,2,4,668
4,1,9,4,9,0,613
9,3,7,3,4,5,736
2,6,7,5,6,7,793
5,5,7,4,9,2,667
6,9,1,5,7,8,934
4,8,4,1,8,10,812
3,4,5,6,1,10,698
7,10,8,9,3,5,1000
9,7,2,8,0,0,655
2,4,6,9,8,5,826
4,4,3,6,6,1,622
9,6,7,0,5,9,886
8,7,9,4,7,0,858
6,9,4,3,4,4,760
6,3,9,5,5,6,848
0,6,2,0,1,7,361
7,2,0,1,3,6,447
1,1,6,9,8,2,605
10,2,8,10,1,1,739
6,1,3,9,5,2,671
3,8,1,4,2,5,478
1,5,10,10,9,6,891
0,2,0,7,10,0,448
1,10,9,3,3,3,660
4,6,5,9,0,0,542
6,6,0,8,3,8,764
4,2,0,5,0,4,327
0,0,7,6,4,1,501
2,7,4,0,10,0,528
6,1,3,0,3,8,409
7,9,3,1,7,7,833
5,9,7,10,3,3,792
0,6,2,4,7,0,439
7,7,7,3,9,5,940
8,7,7,8,2,1,749
0,7,4,9,0,1,430
1,2,9,0,0,6,426
8,1,8,3,0,2,487
4,3,7,0,2,1,435
4,1,9,4,4,4,622
8,7,1,1,5,9,686
9,0,3,7,6,0,675
1,8,0,2,3,8,467
8,10,6,6,4,7,927
4,3,8,5,0,10,751
1,6,0,10,7,5,704
4,2,7,3,8,5,728
0,10,3,0,3,9,543
1,10,1,4,10,3,672
8,8,6,9,7,7,989
5,0,6,7,3,6,569
3,7,8,3,8,10,880
8,3,1,5,9,9,901
1,6,1,5,0,4,412
1,4,0,4,10,3,525
0,7,7,8,7,1,636
5,9,9,1,3,7,786
5,10,1,8,5,3,765
8,0,9,5,4,10,866
3,7,0,7,6,1,578
3,8,2,4,6,1,535
5,10,5,0,10,4,727
7,3,0,9,6,0,664
8,7,8,9,3,5,932
4,10,5,3,2,4,592
5,2,6,3,5,9,667
3,9,4,8,3,3,709
3,6,10,5,0,0,583
3,0,6,3,5,6,527
7,7,0,1,2,5,464
9,2,7,2,4,8,799
1,9,6,5,4,5,746
0,3,7,5,10,6,711
5,9,7,9,6,2,879
2,2,2,10,8,10,736
6,9,1,2,5,5,697
10,5,2,7,1,0,632
0,9,3,7,9,0,602
8,7,9,0,7,1,746
5,4,2,6,10,1,641
8,9,0,4,5,6,748
3,9,4,6,9,1,679
7,2,8,9,1,6,759
7,5,6,0,7,6,684
8,8,10,9,10,8,919
6,1,8,5,9,6,811
7,2,1,3,8,4,543
9,1,5,5,10,5,782
6,6,10,1,4,9,865
0,2,6,2,5,1,376
5,3,0,3,1,10,536
1,0,2,7,1,9,514
0,1,2,8,0,10,416
0,4,3,10,8,9,820
10,0,9,3,0,4,567
4,2,4,8,3,4,625
8,4,4,10,8,1,737
1,3,3,8,9,4,629
3,2,0,3,9,5,509
9,9,0,7,7,8,960
8,1,2,3,7,0,546
5,10,2,5,7,3,741
10,10,1,3,2,5,679
9,9,0,3,5,0,620
6,8,7,3,2,7,762
1,1,9,0,8,0,468
0,6,9,9,5,7,835
9,2,5,0,6,4,616
3,3,0,1,7,10,571
10,2,10,3,9,6,864
8,7,4,6,3,5,821
10,4,5,3,2,9,754
10,4,0,10,3,4,644
8,10,7,10,1,7,974
8,5,5,2,1,6,636
8,2,5,2,8,0,534
1,2,5,8,5,8,702
5,1,8,5,0,2,490
1,7,1,0,0,1,295
8,1,10,7,7,6,913
8,7,0,4,1,0,472
10,8,4,2,6,4,788
0,5,5,5,9,1,582
7,3,4,0,0,2,350
8,1,7,0,0,3,407
7,8,2,6,5,4,813
3,6,3,9,9,0,609
8,2,1,1,3,0,338
8,7,7,0,6,4,826
3,0,8,4,7,3,547
5,0,7,8,3,4,552
9,5,10,7,2,9,906
6,2,1,5,1,7,538
10,7,7,2,0,2,643
5,5,1,5,6,0,427
8,9,9,2,4,2,867
2,5,3,10,0,6,620
9,2,0,9,4,10,743
1,0,8,5,7,9,677
8,6,6,0,10,10,941
10,6,3,8,8,9,900
10,0,2,1,4,9,605
1,7,6,8,4,1,656
6,7,2,4,6,5,719
0,8,4,9,2,10,772
4,6,3,6,8,2,591
3,1,1,3,3,3,328
5,6,10,8,8,10,997
1,1,9,0,5,2,374
10,7,7,2,7,1,798
8,9,7,10,1,1,857
2,4,4,3,4,4,479
5,1,1,1,2,6,349
2,0,0,7,4,4,401
4,5,10,8,10,7,917
4,4,3,3,0,9,575
5,9,3,0,8,4,604
0,0,3,1,10,8,498
5,0,7,10,8,2,682
7,0,6,6,2,1,429
7,4,6,9,6,3,768
3,6,0,1,1,5,353
1,6,0,8,7,7,639
0,2,1,9,5,1,410
4,7,0,10,2,0,508
2,8,8,4,9,4,739
3,1,2,1,7,8,547
4,5,10,6,10,6,955
3,9,6,9,10,4,916
5,8,7,8,7,9,900
2,1,2,8,7,10,697
9,5,6,8,2,2,799
3,0,1,8,7,5,519
4,10,1,4,10,3,797
8,6,1,9,6,8,923
6,0,0,8,7,6,664
8,6,9,6,10,10,964
1,5,3,7,8,5,705
5,8,4,9,7,1,707
5,1,4,6,3,7,552
3,7,9,6,1,5,722
9,5,1,6,1,4,570
8,9,5,9,6,1,869
7,3,5,8,8,10,921
6,1,9,0,3,0,418
4,2,7,9,8,5,826
8,4,4,2,2,8,652
0,6,5,6,6,4,657
4,7,6,7,10,9,903
9,0,6,5,5,8,823
1,10,9,10,6,1,834
8,10,3,1,0,0,572
2,6,0,8,9,10,870
5,10,4,4,9,6,816
3,7,3,9,10,3,766
10,3,0,0,2,4,458
5,8,1,1,3,4,503
8,10,9,5,6,3,942
7,8,5,4,5,8,816
7,9,7,5,1,8,947
10,3,6,6,6,1,783
1,10,2,2,6,5,626
5,3,1,5,3,9,602
7,10,9,10,7,3,918
7,8,7,8,6,4,992
1,5,4,2,8,1,450
3,4,8,9,8,0,727
5,4,2,10,5,5,667
6,8,9,6,4,4,811
2,2,7,1,2,7,487
3,7,2,8,2,3,544
1,3,6,5,9,6,749
7,4,7,5,1,7,679
3,4,10,5,4,0,652
2,2,3,3,6,7,555
7,5,4,8,7,8,857
9,6,7,3,9,4,906
4,0,9,4,4,9,646
2,2,9,9,10,2,774
1,0,7,7,10,4,699
9,0,9,0,1,2,558
1,5,1,10,6,5,641
1,6,2,3,10,0,527
1,6,2,10,6,8,761
3,9,9,1,6,3,666
10,1,10,5,2,10,920
1,6,9,5,4,9,883
4,10,3,10,0,10,801
6,4,8,6,9,9,973
1,7,1,3,9,4,614
4,0,2,2,1,6,328
0,10,2,3,5,8,621
8,5,1,2,6,5,671
10,10,9,0,1,6,838
6,5,1,2,4,9,576
1,2,0,5,4,8,430
0,10,9,1,8,9,911
3,0,5,3,9,1,474
8,2,1,5,6,4,578
4,6,8,6,10,5,848
3,3,1,0,0,6,284
9,0,2,8,3,5,643
8,10,5,8,8,0,928
6,9,6,5,7,0,709
5,6,6,5,2,6,702
8,10,0,0,0,4,603
8,7,3,7,3,3,758
2,2,5,5,10,4,608
4,2,0,8,8,6,588
8,3,4,4,9,6,881
6,2,8,6,10,6,849
3,1,6,9,10,8,921
4,5,8,9,0,9,791
7,10,6,6,6,6,957
9,4,2,7,9,0,738
5,3,1,8,1,4,484
2,0,7,5,1,6,519
8,6,3,2,4,4,568
2,3,7,2,4,5,527
2,10,10,10,0,0,748
0,2,4,10,2,8,636
4,5,5,4,9,1,664
10,10,7,1,10,6,967
2,9,7,6,1,10,889
5,9,2,3,2,6,662
9,8,2,5,1,6,757
0,3,9,10,3,2,552
7,4,8,3,9,5,876
2,10,2,10,9,1,758
3,1,7,3,2,5,448
1,6,3,7,9,3,673
2,7,1,5,2,8,640
0,2,9,10,2,9,682
4,3,3,2,0,1,308
5,2,0,5,5,9,641
9,2,9,6,1,4,796
6,4,3,6,4,10,758
2,4,2,2,3,0,371
0,2,2,9,6,10,677
2,2,8,9,10,4,795
2,7,4,1,7,2,465
0,3,9,0,3,4,449
3,5,5,10,1,9,688
0,6,2,1,6,0,257
9,3,3,9,6,4,742
4,0,2,2,6,6,441
8,0,5,7,4,0,545
6,7,6,1,7,3,687
1,1,1,5,9,8,608
4,4,1,7,0,10,641
8,3,1,4,8,9,767
7,5,6,5,1,6,769
2,9,9,1,3,7,753
2,2,1,4,1,9,428
3,1,5,8,5,9,658
5,4,0,10,9,3,718
5,1,10,0,7,6,677
6,6,1,6,9,3,663
1,9,2,2,9,0,603
1,0,5,3,9,4,543
3,4,9,9,5,5,823
2,3,7,5,0,2,464
6,2,7,3,9,3,710
1,9,1,10,1,8,754
3,8,8,0,1,1,426
8,7,3,0,7,2,612
2,6,8,5,5,5,747
3,10,2,9,4,1,613
4,4,5,9,0,6,622
10,9,3,3,9,8,984
4,4,7,0,7,0,523
3,5,7,6,4,7,696
0,10,5,6,9,2,659
3,4,1,7,0,5,477
3,0,0,0,9,4,388
0,4,8,1,3,0,316
3,4,0,9,2,1,374
5,7,10,5,5,7,813
5,5,4,0,3,0,365
10,10,8,9,9,0,946
2,10,5,10,9,1,905
3,1,7,2,8,5,601
9,2,8,4,2,10,882
8,9,4,9,4,6,967
6,0,2,0,3,5,434
2,7,4,7,2,4,595
9,8,7,2,4,5,802
7,9,10,1,10,9,976
0,9,9,7,8,1,738
5,7,5,10,7,3,863
5,2,5,8,3,0,535
3,3,0,1,0,5,278
4,6,8,3,1,0,516
6,4,0,5,5,1,466
0,1,2,2,0,6,285
5,9,7,3,2,0,568
10,10,6,0,0,1,697
1,5,2,5,3,6,492
3,10,3,0,0,5,522
4,5,5,5,5,7,670
6,9,0,1,2,9,602
4,8,3,7,9,9,938
3,4,2,6,10,10,785
9,3,6,8,2,4,729
5,4,8,4,2,2,656
4,8,9,9,6,6,997
4,9,4,0,3,2,477
3,3,6,7,2,8,651
7,3,8,1,6,3,690
9,0,3,4,0,0,317
0,10,2,0,5,4,411
2,9,7,3,2,9,769
0,5,7,9,2,7,773
5,6,8,6,1,6,720
8,0,2,2,4,8,577
4,5,4,6,8,9,800
5,10,4,2,5,0,580
8,7,1,8,3,4,713
5,6,1,3,5,3,520
8,1,10,6,4,9,894
7,1,0,10,9,7,709
2,8,5,5,10,7,855
2,7,2,5,2,9,643
2,1,2,5,5,4,357
0,9,10,2,0,5,645
7,1,8,4,4,0,555
5,9,8,2,10,0,856
10,4,10,9,10,2,957
2,8,10,3,10,7,878
8,7,7,3,4,1,677
5,4,0,0,7,2,473
9,1,8,10,10,10,914
0,7,10,10,10,10,1000
1,4,1,2,5,9,557
10,5,1,8,3,4,742
6,9,7,8,3,2,757
7,3,10,2,4,3,668
7,5,9,0,2,3,604
7,4,2,4,8,7,799
1,0,2,6,0,8,366
5,2,7,9,10,2,834
0,6,10,8,5,7,825
0,3,6,4,7,6,605
4,8,5,2,7,8,751
9,2,5,8,10,7,951
2,0,3,3,6,8,499
8,8,3,8,2,9,859
2,2,10,0,0,9,527
8,0,0,6,3,5,572
4,4,4,8,2,8,700
8,5,8,8,10,4,992
8,9,9,6,10,2,929
0,8,6,8,5,5,741
10,8,5,2,3,10,884
9,0,8,6,8,4,896
9,4,7,0,9,9,841
4,5,1,5,2,2,444
6,6,2,3,9,4,698
6,0,3,1,9,8,635
1,5,4,5,6,7,661
9,7,10,10,5,6,998
6,9,10,3,3,5,847
3,9,9,2,10,5,812
2,5,9,2,4,2,543
4,0,2,9,0,8,564
0,2,4,7,8,10,758
9,2,8,6,5,8,901
3,9,2,5,1,8,614
4,8,9,7,7,3,970
0,5,7,3,8,2,569
10,0,1,10,9,0,667
4,0,2,1,10,10,643
1,5,1,7,7,0,405
10,4,5,10,7,3,865
4,9,9,4,0,10,851
0,2,4,8,8,5,625
4,1,3,8,2,10,677
5,1,3,2,4,7,484
2,4,5,2,6,8,591
3,7,8,4,10,8,918
9,4,8,9,1,3,734
10,9,5,8,2,3,920
5,0,9,3,8,1,604
3,8,6,10,10,0,818
7,5,1,0,3,4,498
8,7,2,3,2,9,701
6,0,0,7,9,7,616
6,8,9,3,0,6,716
8,5,10,0,0,2,644
8,6,9,2,7,5,890
7,4,1,1,3,2,390
10,1,4,3,2,3,528
5,4,10,4,10,5,853
6,0,7,10,3,7,811
5,4,0,0,6,9,528
6,2,5,6,5,7,624
1,8,5,1,6,2,556
4,0,9,4,9,7,731
2,8,1,10,0,6,651
8,5,3,7,4,10,899
3,3,2,10,3,6,639
4,6,4,5,1,1,418
0,3,8,8,6,8,808
9,6,4,3,10,3,771
0,6,0,5,7,5,576
4,4,8,5,10,4,787
1,9,2,0,5,5,546
6,5,2,8,7,4,739
8,4,9,0,10,0,771
7,2,6,2,1,4,465
2,7,10,5,7,0,743
7,0,8,10,1,10,851
5,7,1,2,1,0,342
9,6,3,1,9,7,893
0,7,4,9,5,6,761
4,8,0,4,6,10,666
3,1,0,5,0,10,435
7,7,3,3,8,6,824
1,6,5,3,4,2,450
1,7,9,0,2,7,618
5,0,4,9,6,10,786
9,4,1,9,6,0,723
2,8,6,0,1,9,579
1,1,10,1,0,8,513
4,6,6,8,10,4,886
1,5,1,9,6,9,813
8,0,1,5,4,3,489
2,7,9,10,1,4,764
6,3,10,3,0,3,483
4,6,5,5,2,4,554
8,7,2,8,10,10,943
3,1,2,5,10,2,485
2,3,7,7,1,4,513
3,10,6,6,6,7,826
4,8,1,7,4,5,627
5,3,9,2,7,7,741
8,4,9,6,7,8,919
6,7,9,3,1,2,731
0,1,1,2,1,1,176
4,0,5,3,7,5,520
9,3,2,0,5,5,514
6,7,3,1,5,7,685
10,4,7,1,8,1,688
9,8,2,6,10,0,755
1,9,3,10,9,3,771
3,3,8,8,8,1,710
8,10,9,6,6,1,877
6,10,10,2,8,10,994
6,1,8,5,6,4,643
10,9,6,2,5,10,918
3,5,4,10,0,1,541
0,7,5,0,5,4,458
5,8,2,10,9,1,829
5,5,0,5,7,10,721
6,10,8,1,6,10,969
6,0,9,2,3,5,563
2,7,10,6,0,3,585
9,8,0,0,0,3,516
5,5,10,8,3,5,877
1,6,6,3,6,4,514
5,2,2,2,2,0,320
3,0,7,3,7,10,654
9,6,3,3,7,7,738
10,10,3,5,10,5,925
9,0,7,4,1,7,654
0,0,7,3,8,5,567
2,0,5,6,7,9,672
0,7,4,3,4,5,506
4,5,5,8,1,2,583
0,2,7,6,0,5,430
8,3,10,2,4,2,747
0,8,0,8,3,9,724
3,7,1,2,2,8,495
6,10,5,7,2,8,861
6,4,9,2,4,9,767
5,1,5,9,5,6,715
10,8,2,8,8,4,945
1,6,3,8,10,8,882
3,10,6,2,10,4,775
3,3,4,7,3,10,719
5,9,8,9,8,6,912
9,5,7,10,1,1,782
3,7,7,8,0,10,841
4,1,3,10,5,0,627
1,5,8,8,9,6,850
4,4,7,10,5,0,710
4,7,7,7,6,9,943
5,3,0,7,4,6,606
3,7,2,0,10,2,568
5,9,9,3,3,2,720
6,3,5,1,2,3,454
4,8,0,8,1,9,753
5,1,4,4,10,5,611
4,3,5,3,5,1,538
5,2,1,7,7,5,545
2,1,5,2,5,1,295
5,9,2,4,6,6,702
2,6,2,8,1,0,447
10,4,5,8,3,10,952
9,3,5,4,5,5,697
4,2,4,0,10,7,659
0,2,6,3,9,3,502
5,6,3,8,6,3,697
10,6,3,0,1,8,585
10,9,9,3,9,4,977
2,3,0,10,4,0,376
10,0,4,0,6,8,623
8,2,9,3,0,7,672
8,6,7,3,3,5,699
1,6,9,0,10,7,796
3,10,6,7,6,7,961
5,7,5,8,6,5,874
8,1,10,9,2,5,815
3,3,7,5,3,0,489
6,7,5,4,1,2,560
10,2,5,4,4,1,581
8,8,4,6,5,5,850
5,5,7,0,9,1,569
10,1,5,4,2,0,440
5,2,4,8,10,3,771
5,2,6,8,4,2,622
3,4,1,3,7,1,444
3,1,2,2,5,9,498
2,3,10,6,2,0,559
5,9,1,4,9,2,709
9,4,0,6,8,3,641
4,1,6,4,8,7,784
8,10,5,4,6,2,852
2,2,8,9,4,4,699
5,2,9,2,7,2,616
0,9,10,10,10,10,902
5,7,0,6,0,2,383
5,8,0,2,5,4,517
9,1,4,6,10,7,835
3,0,3,9,6,0,508
9,6,2,6,5,10,811
1,2,10,7,4,0,589
10,9,9,6,7,9,975
5,8,5,8,3,9,873
2,3,10,8,9,8,888
7,1,0,3,9,10,662
1,3,6,0,5,10,587
3,8,6,10,6,9,949
2,0,0,9,3,7,478
2,3,3,5,1,1,338
7,2,7,5,0,6,674
5,5,3,9,1,1,550
3,9,10,6,5,0,823
2,8,8,0,8,6,778
10,8,8,8,5,2,981
8,0,5,10,6,5,734
0,9,8,8,1,6,781
3,7,3,2,4,0,466
6,3,8,7,8,3,873
2,1,7,0,9,0,495
10,1,1,0,10,1,503
1,0,8,2,4,9,630
5,8,10,9,4,5,958
2,6,2,5,0,10,617
4,3,10,9,0,3,592
4,9,2,2,6,1,589
9,7,5,1,10,10,958
1,0,4,4,7,9,634
0,1,6,4,9,9,685
8,10,10,0,8,3,920
6,8,3,0,4,6,631
1,3,9,3,8,7,782
1,8,4,9,6,10,938
2,1,6,2,9,10,659
1,7,8,8,0,0,609
9,0,7,7,5,8,784
1,8,9,6,4,6,744
9,6,10,1,0,5,668
3,8,4,10,7,7,878
7,7,0,6,0,5,535
2,5,9,5,4,0,590
1,1,2,7,9,7,651
1,2,5,0,2,7,402
0,7,7,5,10,10,926
6,1,3,5,5,6,660
0,5,2,3,4,5,488
10,7,10,0,2,8,855
8,2,7,9,4,8,956
6,2,7,0,10,9,816
5,1,10,9,6,5,812
7,5,5,8,1,8,767
10,7,8,2,1,0,600
3,5,1,8,2,7,606
5,2,1,4,9,10,669
10,4,8,4,3,1,712
6,5,9,2,1,8,668
10,0,5,10,2,5,702
6,7,0,9,2,0,617
3,0,1,2,6,3,359
4,1,5,5,9,8,815
0,4,9,6,5,8,705
10,3,0,0,3,9,619
4,7,9,1,6,8,784
1,9,9,9,3,4,745
5,4,9,3,6,6,704
1,4,0,9,5,1,446
5,0,8,2,7,7,689
1,4,5,5,6,5,601
8,1,9,7,0,5,777
10,8,0,4,6,9,890
8,1,7,6,3,3,688
3,3,5,0,1,6,393
7,0,5,2,10,0,571
2,5,8,0,0,3,385
3,3,4,10,7,7,747
0,2,3,2,2,10,451
4,9,7,5,8,2,807
5,3,2,6,5,3,610
1,3,8,0,9,7,678
8,0,1,7,8,3,575
4,5,0,9,10,10,869
8,10,6,7,2,6,843
5,3,10,2,0,4,606
4,1,0,2,1,1,247
2,7,4,4,0,2,468
4,3,2,9,5,8,637
4,5,2,9,8,0,668
7,10,7,10,0,7,990
1,6,7,0,2,5,475
1,8,6,5,8,1,675
8,7,8,3,6,4,859
5,7,2,0,10,5,597
1,10,4,3,7,3,652
8,2,8,4,10,8,938
10,1,4,6,1,8,611
4,2,3,7,1,7,529
8,8,8,7,10,0,881
4,8,3,4,2,0,505
7,1,9,6,7,4,795
1,9,0,3,4,9,579
0,0,2,6,7,6,545
1,5,8,1,0,8,572
4,10,2,4,3,1,476
9,2,7,7,8,4,858
0,5,7,5,0,8,570
1,10,4,9,5,5,810
5,6,0,10,5,10,805
3,0,10,1,2,4,507
8,0,9,1,10,1,607
9,10,10,5,8,10,946
9,8,10,8,8,4,970
3,1,3,10,6,6,688
1,7,6,8,10,2,768
2,10,9,0,10,3,767
4,2,7,9,10,1,803
1,6,2,8,1,10,660
9,5,10,10,1,1,835
7,0,4,5,2,0,446
4,4,0,6,2,7,509
5,5,7,5,8,10,911
2,6,4,5,7,2,657
10,10,3,5,10,1,948
2,8,3,10,0,3,659
5,2,8,6,5,6,683
9,8,4,1,9,7,915
10,6,2,5,5,1,632
2,4,7,5,3,7,566
5,6,6,6,4,0,543
5,5,1,7,10,1,670
6,9,6,5,2,8,805
1,4,7,7,0,3,499
6,0,6,7,1,8,646
7,6,3,9,5,8,924
2,4,5,4,3,5,520
9,1,6,3,6,0,615
4,4,2,5,0,6,454
1,9,3,9,4,6,660
7,9,1,8,7,3,840
0,6,9,6,2,10,757
2,3,1,5,10,9,650
4,9,3,7,6,8,886
0,0,6,3,7,10,669
6,8,6,10,5,7,916
1,10,7,9,5,6,886
6,0,0,8,8,8,734
0,4,10,5,0,6,614
9,8,3,3,7,3,765
4,7,4,3,9,2,724
3,8,4,5,10,5,812
9,9,7,5,7,4,965
9,9,7,0,6,4,782
1,10,1,4,4,8,640
0,10,10,3,0,1,628
7,3,4,10,1,1,560
7,8,0,8,9,7,898
9,4,2,6,9,3,784
10,1,5,6,4,8,773
4,8,9,6,8,7,904
6,6,9,1,4,5,748
8,4,9,2,6,3,743
2,10,3,1,6,9,699
1,10,8,2,7,10,922
8,2,10,9,6,6,904
3,5,3,8,8,9,868
9,1,2,9,7,10,969
